Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Inquery,Chrome 136.0.0.0,,,16-05-2025 10:55:37,16-05-2025 10:57:50,2m - 12.392s,PASSED
,,,,,,,
Test Cases/Inquery/Data User Admin/Cari Data user Admin,Chrome 136.0.0.0,,,16-05-2025 10:55:37,16-05-2025 10:56:01,23.535s,PASSED
"click(findTestObject(""Menu Utama/Button Inquiry""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:55:38,16-05-2025 10:55:41,3.772s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:55:41,16-05-2025 10:55:44,2.052s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:55:44,16-05-2025 10:55:44,0.439s,PASSED
"click(findTestObject(""Inquery/Button Data User Admin""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:55:44,16-05-2025 10:55:45,0.804s,PASSED
"setText(findTestObject(""Inquery/Data user Admin/Input Username""), ""agni"", CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:55:45,16-05-2025 10:55:45,0.734s,PASSED
"setText(findTestObject(""Inquery/Data user Admin/Input Nama""), ""agni"", CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:55:45,16-05-2025 10:55:46,0.798s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:55:46,16-05-2025 10:55:48,2.016s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:55:48,16-05-2025 10:55:49,0.361s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Cari""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:55:49,16-05-2025 10:55:49,0.597s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:55:49,16-05-2025 10:55:51,2.006s,PASSED
takeScreenshot(),Chrome 136.0.0.0,,,16-05-2025 10:55:51,16-05-2025 10:55:52,0.359s,PASSED
"click(findTestObject(""Inquery/Data user Admin/Button Detail  Username""), CONTINUE_ON_FAILURE)",Chrome 136.0.0.0,,,16-05-2025 10:55:52,16-05-2025 10:55:52,0.877s,PASSED
delay(2),Chrome 136.0.0.0,,,16-05-2025 10:55:52,16-05-2025 10:55:55,2.024s,PASSED
